"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","600536","中国软件","","600536.SS","SH600536","sh","","I65软件和信息技术服务业; avg20_amount=585296627; last_amount=515688070"
"SZ","300866","安克创新","","300866.SZ","SZ300866","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=575802127; last_amount=687108297"
"SZ","301191","菲菱科思","","301191.SZ","SZ301191","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=573123866; last_amount=658301361"
"SH","600839","四川长虹","","600839.SS","SH600839","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=572350991; last_amount=711483977"
"SZ","301316","慧博云通","","301316.SZ","SZ301316","sz","","I65软件和信息技术服务业; avg20_amount=567798049; last_amount=703792096"
"SZ","300820","英杰电气","","300820.SZ","SZ300820","sz","","C38电气机械和器材制造业; avg20_amount=564726275; last_amount=611422503"
"SZ","300410","正业科技","","300410.SZ","SZ300410","sz","","C35专用设备制造业; avg20_amount=563149586; last_amount=268006770"
"SZ","300276","三丰智能","","300276.SZ","SZ300276","sz","","C35专用设备制造业; avg20_amount=555075736; last_amount=437022423"
"SZ","301678","新恒汇","","301678.SZ","SZ301678","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=544256986; last_amount=724093280"
"SH","600060","海信视像","","600060.SS","SH600060","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=543847694; last_amount=335328460"
"SZ","301387","光大同创","","301387.SZ","SZ301387","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=537795978; last_amount=262427552"
"SZ","300936","中英科技","","300936.SZ","SZ300936","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=529491571; last_amount=336596523"
"SZ","301369","联动科技","","301369.SZ","SZ301369","sz","","C35专用设备制造业; avg20_amount=525022917; last_amount=563203662"
"SZ","300735","光弘科技","","300735.SZ","SZ300735","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=521410825; last_amount=382602823"
"SH","600877","电科芯片","","600877.SS","SH600877","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=518177403; last_amount=931881120"
"SZ","300827","上能电气","","300827.SZ","SZ300827","sz","","C38电气机械和器材制造业; avg20_amount=515964982; last_amount=383664186"
"SZ","300409","道氏技术","","300409.SZ","SZ300409","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=515624814; last_amount=492406479"
"SZ","301282","金禄电子","","301282.SZ","SZ301282","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=515346511; last_amount=389084500"
"SZ","300486","东杰智能","","300486.SZ","SZ300486","sz","","C34通用设备制造业; avg20_amount=514991525; last_amount=470818366"
"SZ","300069","金利华电","","300069.SZ","SZ300069","sz","","C38电气机械和器材制造业; avg20_amount=503794833; last_amount=986569995"
"SZ","300046","台基股份","","300046.SZ","SZ300046","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=503279674; last_amount=574421750"
"SZ","300444","双杰电气","","300444.SZ","SZ300444","sz","","C38电气机械和器材制造业; avg20_amount=501020295; last_amount=436806396"
"SH","600550","保变电气","","600550.SS","SH600550","sh","","C38电气机械和器材制造业; avg20_amount=498479032; last_amount=397314874"
"SH","600588","用友网络","","600588.SS","SH600588","sh","","I65软件和信息技术服务业; avg20_amount=490658941; last_amount=515712272"
"SZ","301603","乔锋智能","","301603.SZ","SZ301603","sz","","C34通用设备制造业; avg20_amount=490426273; last_amount=741030817"
"SZ","300378","鼎捷数智","","300378.SZ","SZ300378","sz","","I65软件和信息技术服务业; avg20_amount=489418643; last_amount=563068876"
"SZ","300241","瑞丰光电","","300241.SZ","SZ300241","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=489415588; last_amount=363649170"
"SZ","300802","矩子科技","","300802.SZ","SZ300802","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=489141968; last_amount=256628584"
"SZ","300053","航宇微","","300053.SZ","SZ300053","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=488966023; last_amount=472807737"
