"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300442","润泽科技","","300442.SZ","SZ300442","sz","","I65软件和信息技术服务业; avg20_amount=3511887208; last_amount=6075337759"
"SZ","301205","联特科技","","301205.SZ","SZ301205","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=3422316366; last_amount=2695344928"
"SZ","300776","帝尔激光","","300776.SZ","SZ300776","sz","","C35专用设备制造业; avg20_amount=3321612125; last_amount=3206983359"
"SZ","300672","国科微","","300672.SZ","SZ300672","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=3318673503; last_amount=2795272470"
"SZ","300302","同有科技","","300302.SZ","SZ300302","sz","","I65软件和信息技术服务业; avg20_amount=3301205298; last_amount=2318425948"
"SH","600089","特变电工","","600089.SS","SH600089","sh","","C38电气机械和器材制造业; avg20_amount=3276362101; last_amount=2452950905"
"SZ","300037","新宙邦","","300037.SZ","SZ300037","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=3219351119; last_amount=3072882531"
"SZ","300782","卓胜微","","300782.SZ","SZ300782","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2941195930; last_amount=2269308808"
"SH","600110","诺德股份","","600110.SS","SH600110","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=2851522131; last_amount=2753047638"
"SZ","300657","弘信电子","","300657.SZ","SZ300657","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2831595505; last_amount=1543302704"
"SZ","300450","先导智能","","300450.SZ","SZ300450","sz","","C35专用设备制造业; avg20_amount=2804007295; last_amount=2020494784"
"SZ","301611","珂玛科技","","301611.SZ","SZ301611","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2690000239; last_amount=4090541526"
"SZ","300085","银之杰","","300085.SZ","SZ300085","sz","","I65软件和信息技术服务业; avg20_amount=2667097306; last_amount=2832446805"
"SZ","300661","圣邦股份","","300661.SZ","SZ300661","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2648303086; last_amount=4387130166"
"SZ","300567","精测电子","","300567.SZ","SZ300567","sz","","C40仪器仪表制造业; avg20_amount=2545655758; last_amount=3967471237"
"SZ","300811","铂科新材","","300811.SZ","SZ300811","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2531823774; last_amount=2204088359"
"SZ","300747","锐科激光","","300747.SZ","SZ300747","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2528357670; last_amount=1570964836"
"SZ","300323","华灿光电","","300323.SZ","SZ300323","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2480638940; last_amount=3739733889"
"SZ","300418","昆仑万维","","300418.SZ","SZ300418","sz","","I64互联网和相关服务; avg20_amount=2455568098; last_amount=6759309873"
