"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","600535","天士力","","600535.SS","SH600535","sh","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SH","600546","山煤国际","","600546.SS","SH600546","sh","","B06煤炭开采和洗选业; index_source=zz500; index_update=2026-06-29"
"SH","600562","国睿科技","","600562.SS","SH600562","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600566","济川药业","","600566.SS","SH600566","sh","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SH","600578","京能电力","","600578.SS","SH600578","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","600582","天地科技","","600582.SS","SH600582","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600583","海油工程","","600583.SS","SH600583","sh","","B11开采专业及辅助性活动; index_source=zz500; index_update=2026-06-29"
"SH","600595","中孚实业","","600595.SS","SH600595","sh","","C32有色金属冶炼和压延加工业; index_source=zz500; index_update=2026-06-29"
"SH","600598","北大荒","","600598.SS","SH600598","sh","","A01农业; index_source=zz500; index_update=2026-06-29"
"SH","600602","云赛智联","","600602.SS","SH600602","sh","","I65软件和信息技术服务业; index_source=zz500; index_update=2026-06-29"
"SH","600606","绿地控股","","600606.SS","SH600606","sh","","E48土木工程建筑业; index_source=zz500; index_update=2026-06-29"
"SH","600637","东方明珠","","600637.SS","SH600637","sh","","I63电信、广播电视和卫星传输服务; index_source=zz500; index_update=2026-06-29"
"SH","600642","申能股份","","600642.SS","SH600642","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","600655","豫园股份","","600655.SS","SH600655","sh","","F52零售业; index_source=zz500; index_update=2026-06-29"
"SH","600663","陆家嘴","","600663.SS","SH600663","sh","","K70房地产业; index_source=zz500; index_update=2026-06-29"
"SH","600685","中船防务","","600685.SS","SH600685","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600688","上海石化","","600688.SS","SH600688","sh","","C25石油、煤炭及其他燃料加工业; index_source=zz500; index_update=2026-06-29"
"SH","600704","物产中大","","600704.SS","SH600704","sh","","F51批发业; index_source=zz500; index_update=2026-06-29"
"SH","600711","盛屯矿业","","600711.SS","SH600711","sh","","B09有色金属矿采选业; index_source=zz500; index_update=2026-06-29"
"SH","600737","中粮糖业","","600737.SS","SH600737","sh","","C13农副食品加工业; index_source=zz500; index_update=2026-06-29"
"SH","600754","锦江酒店","","600754.SS","SH600754","sh","","H61住宿业; index_source=zz500; index_update=2026-06-29"
"SH","600763","通策医疗","","600763.SS","SH600763","sh","","Q84卫生; index_source=zz500; index_update=2026-06-29"
"SH","600764","中国海防","","600764.SS","SH600764","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600765","中航重机","","600765.SS","SH600765","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600801","华新建材","","600801.SS","SH600801","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","600808","马钢股份","","600808.SS","SH600808","sh","","C31黑色金属冶炼和压延加工业; index_source=zz500; index_update=2026-06-29"
"SH","600816","建元信托","","600816.SS","SH600816","sh","","J69其他金融业; index_source=zz500; index_update=2026-06-29"
"SH","600820","隧道股份","","600820.SS","SH600820","sh","","E48土木工程建筑业; index_source=zz500; index_update=2026-06-29"
"SH","600848","上海临港","","600848.SS","SH600848","sh","","K70房地产业; index_source=zz500; index_update=2026-06-29"
"SH","600862","中航高科","","600862.SS","SH600862","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600863","华能蒙电","","600863.SS","SH600863","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","600871","石化油服","","600871.SS","SH600871","sh","","B11开采专业及辅助性活动; index_source=zz500; index_update=2026-06-29"
"SH","600873","梅花生物","","600873.SS","SH600873","sh","","C14食品制造业; index_source=zz500; index_update=2026-06-29"
"SH","600879","航天电子","","600879.SS","SH600879","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600885","宏发股份","","600885.SS","SH600885","sh","","C38电气机械和器材制造业; index_source=zz500; index_update=2026-06-29"
"SH","600901","江苏金租","","600901.SS","SH600901","sh","","J66货币金融服务; index_source=zz500; index_update=2026-06-29"
"SH","600906","财达证券","","600906.SS","SH600906","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","600909","华安证券","","600909.SS","SH600909","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","600927","永安期货","","600927.SS","SH600927","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","600967","内蒙一机","","600967.SS","SH600967","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","600968","海油发展","","600968.SS","SH600968","sh","","B11开采专业及辅助性活动; index_source=zz500; index_update=2026-06-29"
"SH","600970","中材国际","","600970.SS","SH600970","sh","","E48土木工程建筑业; index_source=zz500; index_update=2026-06-29"
"SH","600977","中国电影","","600977.SS","SH600977","sh","","R87广播、电视、电影和录音制作业; index_source=zz500; index_update=2026-06-29"
"SH","600985","淮北矿业","","600985.SS","SH600985","sh","","B06煤炭开采和洗选业; index_source=zz500; index_update=2026-06-29"
"SH","600988","赤峰黄金","","600988.SS","SH600988","sh","","B09有色金属矿采选业; index_source=zz500; index_update=2026-06-29"
"SH","600995","南网储能","","600995.SS","SH600995","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","600998","九州通","","600998.SS","SH600998","sh","","F51批发业; index_source=zz500; index_update=2026-06-29"
"SH","601000","唐山港","","601000.SS","SH601000","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","601001","晋控煤业","","601001.SS","SH601001","sh","","B06煤炭开采和洗选业; index_source=zz500; index_update=2026-06-29"
"SH","601016","节能风电","","601016.SS","SH601016","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","601019","山东出版","","601019.SS","SH601019","sh","","R86新闻和出版业; index_source=zz500; index_update=2026-06-29"
"SH","601098","中南传媒","","601098.SS","SH601098","sh","","R86新闻和出版业; index_source=zz500; index_update=2026-06-29"
"SH","601099","太平洋","","601099.SS","SH601099","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601106","中国一重","","601106.SS","SH601106","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601108","财通证券","","601108.SS","SH601108","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601112","振石股份","","601112.SS","SH601112","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","601118","海南橡胶","","601118.SS","SH601118","sh","","A01农业; index_source=zz500; index_update=2026-06-29"
"SH","601128","常熟银行","","601128.SS","SH601128","sh","","J66货币金融服务; index_source=zz500; index_update=2026-06-29"
"SH","601139","深圳燃气","","601139.SS","SH601139","sh","","D45燃气生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","601155","新城控股","","601155.SS","SH601155","sh","","K70房地产业; index_source=zz500; index_update=2026-06-29"
"SH","601156","东航物流","","601156.SS","SH601156","sh","","G56航空运输业; index_source=zz500; index_update=2026-06-29"
"SH","601162","天风证券","","601162.SS","SH601162","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601179","中国西电","","601179.SS","SH601179","sh","","C38电气机械和器材制造业; index_source=zz500; index_update=2026-06-29"
"SH","601198","东兴证券","","601198.SS","SH601198","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601212","白银有色","","601212.SS","SH601212","sh","","C32有色金属冶炼和压延加工业; index_source=zz500; index_update=2026-06-29"
"SH","601216","君正集团","","601216.SS","SH601216","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","601228","广州港","","601228.SS","SH601228","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","601233","桐昆股份","","601233.SS","SH601233","sh","","C28化学纤维制造业; index_source=zz500; index_update=2026-06-29"
"SH","601236","红塔证券","","601236.SS","SH601236","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601298","青岛港","","601298.SS","SH601298","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","601399","国机重装","","601399.SS","SH601399","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601555","东吴证券","","601555.SS","SH601555","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601567","三星电气","","601567.SS","SH601567","sh","","C40仪器仪表制造业; index_source=zz500; index_update=2026-06-29"
"SH","601577","长沙银行","","601577.SS","SH601577","sh","","J66货币金融服务; index_source=zz500; index_update=2026-06-29"
"SH","601598","中国外运","","601598.SS","SH601598","sh","","G58多式联运和运输代理业; index_source=zz500; index_update=2026-06-29"
"SH","601608","中信重工","","601608.SS","SH601608","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601611","中国核建","","601611.SS","SH601611","sh","","E48土木工程建筑业; index_source=zz500; index_update=2026-06-29"
"SH","601615","明阳智能","","601615.SS","SH601615","sh","","C34通用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601665","齐鲁银行","","601665.SS","SH601665","sh","","J66货币金融服务; index_source=zz500; index_update=2026-06-29"
"SH","601666","平煤股份","","601666.SS","SH601666","sh","","B06煤炭开采和洗选业; index_source=zz500; index_update=2026-06-29"
